Buddy Hield,29.38,SAC,SG,MEM,38.12,11,199.0,205,96.5,1,21.5,99.24,20.12,29.77,39.08,19.68,2.26
Ish Smith,28.12,DET,PG,@ NYK,42.64,8,209.0,-125,105.25,0.25,22.8,97.99,21.04,29.86,37.96,18.28,2.16
Tony Allen,21.3,MEM,SG,@ SAC,40.22,26,199.0,-245,102.5,1,26.9,97.74,16.78,27.60,29.61,12.99,2.13
JaMychal Green,21.24,MEM,PF,@ SAC,45.94,26,199.0,-245,102.5,1,27.2,97.74,13.41,31.61,28.67,13.81,2.12
Tony Parker,20.18,SAS,PG,CLE,45.61,23,211.0,-215,108.25,0,25.1,97.88,20.58,24.29,28.25,12.11,2.02
Skal Labissiere,21.82,SAC,PF,MEM,40.53,2,199.0,205,96.5,1,14.4,99.24,21.74,22.53,29.68,13.96,1.98
P.J. Tucker,21.73,TOR,SF,ORL,39.31,18,209.0,-340,108.5,0.75,27.5,98.46,11.41,31.42,29.34,14.12,1.98
Vince Carter,19.66,MEM,SF,@ SAC,39.28,17,199.0,-245,102.5,1,23.9,97.74,14.56,29.95,25.75,13.57,1.97
Ty Lawson,19.29,SAC,PG,MEM,42.98,9,199.0,205,96.5,1,24.7,99.24,19.68,23.27,27.78,10.80,1.93
Danny Green,19.25,SAS,SG,CLE,42.16,29,211.0,-215,108.25,0,26.5,97.88,12.80,25.09,25.80,12.71,1.93
Jon Leuer,21.13,DET,PF,@ NYK,45.81,24,209.0,-125,105.25,0.25,26.5,97.99,16.91,23.57,27.89,14.37,1.92
Solomon Hill,18.6,NOP,SF,@ UTA,32.92,1,198.0,220,96,-0.75,28.6,101.62,11.34,32.37,25.67,11.53,1.86
J.R. Smith,19.85,CLE,SG,@ SAS,38.48,15,211.0,185,102.75,-1,27.2,101.29,14.24,33.11,27.39,12.31,1.8
Mario Hezonja,17.25,ORL,SF,@ TOR,37.96,7,209.0,285,100.5,2.25,13.3,99.83,19.31,24.08,25.53,8.97,1.73
